Task ID,Task Description,Assigned To,Priority,Dependencies,Assigned Date,Expected Deadline,Estimated Time,Completed Date,Delay (days)
T59,Implement new security patches in infrastructure,Alice,Low,T28,29-01-2024,04-02-2024,6,07-02-2024,3
T60,Refactor legacy code for better maintainability,David,Low,No Dependency,16-01-2024,23-01-2024,7,25-01-2024,2
T61,Fix critical security vulnerability in system,Eve,High,No Dependency,27-01-2024,29-01-2024,2,30-01-2024,1
T62,Prepare financial report for Q1,Eve,High,No Dependency,10-01-2024,12-01-2024,2,15-01-2024,3
T63,Schedule and conduct weekly team meeting,Eve,Medium,No Dependency,24-01-2024,27-01-2024,3,29-01-2024,2
T64,Submit project proposal before deadline,Eve,Low,No Dependency,13-01-2024,18-01-2024,5,20-01-2024,2
T65,Review design documents and provide feedback,Eve,Low,T57,02-01-2024,05-01-2024,3,06-01-2024,1
T66,Update company website homepage with new content,Alice,High,T5,20-01-2024,26-01-2024,6,27-01-2024,1
T67,Resolve high-priority customer complaints,David,Low,No Dependency,05-01-2024,11-01-2024,6,15-01-2024,4
T68,Analyze user feedback for product enhancements,Charlie,High,No Dependency,06-01-2024,11-01-2024,5,14-01-2024,3
T69,Test new software release for bugs and stability,Eve,High,No Dependency,15-01-2024,17-01-2024,2,18-01-2024,1
T70,Conduct market research for upcoming product launch,Eve,High,No Dependency,03-01-2024,11-01-2024,8,14-01-2024,3
T71,Optimize database queries for faster performance,Bob,Low,No Dependency,28-01-2024,05-02-2024,8,07-02-2024,2
T72,Develop machine learning model for sentiment analysis,Charlie,Medium,No Dependency,23-01-2024,28-01-2024,5,02-02-2024,5
T73,Write and review technical documentation,Bob,Medium,T31,26-01-2024,30-01-2024,4,02-02-2024,3
T74,Improve CI/CD pipeline for automated deployments,Alice,High,T17,20-01-2024,26-01-2024,6,26-01-2024,0
T75,Monitor server performance and address downtime issues,Alice,High,No Dependency,19-01-2024,27-01-2024,8,27-01-2024,0
T76,Train new employees on company policies and procedures,Bob,Low,No Dependency,12-01-2024,14-01-2024,2,15-01-2024,1
T77,Coordinate with vendors for procurement needs,Eve,Medium,No Dependency,28-01-2024,31-01-2024,3,31-01-2024,0
T78,Create social media marketing strategy,Alice,Medium,No Dependency,23-01-2024,28-01-2024,5,29-01-2024,1
T79,Implement new security patches in infrastructure,Charlie,Low,No Dependency,31-01-2024,05-02-2024,5,09-02-2024,4
T80,Refactor legacy code for better maintainability,Charlie,Urgent,No Dependency,19-01-2024,24-01-2024,5,28-01-2024,4
T81,Fix critical security vulnerability in system,Bob,Urgent,T11,02-01-2024,08-01-2024,6,13-01-2024,5
T82,Prepare financial report for Q1,Eve,High,No Dependency,16-01-2024,20-01-2024,4,25-01-2024,5
T83,Schedule and conduct weekly team meeting,Eve,High,T52,10-01-2024,15-01-2024,5,18-01-2024,3
T84,Submit project proposal before deadline,Alice,Medium,No Dependency,07-01-2024,10-01-2024,3,12-01-2024,2
T85,Review design documents and provide feedback,Eve,Urgent,No Dependency,12-01-2024,18-01-2024,6,22-01-2024,4
T86,Update company website homepage with new content,Eve,Urgent,No Dependency,08-01-2024,12-01-2024,4,13-01-2024,1
T87,Resolve high-priority customer complaints,Alice,Urgent,T21,27-01-2024,03-02-2024,7,05-02-2024,2
T88,Analyze user feedback for product enhancements,Eve,Medium,T60,16-01-2024,20-01-2024,4,22-01-2024,2
T89,Test new software release for bugs and stability,David,Urgent,No Dependency,12-01-2024,19-01-2024,7,19-01-2024,0
T90,Conduct market research for upcoming product launch,Alice,High,No Dependency,04-01-2024,12-01-2024,8,15-01-2024,3
T91,Optimize database queries for faster performance,Bob,Low,No Dependency,02-01-2024,08-01-2024,6,12-01-2024,4
T92,Develop machine learning model for sentiment analysis,Eve,Urgent,No Dependency,25-01-2024,30-01-2024,5,03-02-2024,4
T93,Write and review technical documentation,Charlie,Low,No Dependency,26-01-2024,28-01-2024,2,30-01-2024,2
T94,Improve CI/CD pipeline for automated deployments,Eve,Low,No Dependency,17-01-2024,20-01-2024,3,20-01-2024,0
T95,Monitor server performance and address downtime issues,Alice,Urgent,No Dependency,20-01-2024,26-01-2024,6,30-01-2024,4
T96,Train new employees on company policies and procedures,Bob,High,T95,27-01-2024,02-02-2024,6,04-02-2024,2
T97,Coordinate with vendors for procurement needs,Eve,High,T48,11-01-2024,19-01-2024,8,24-01-2024,5
T98,Create social media marketing strategy,Alice,Low,No Dependency,31-01-2024,05-02-2024,5,10-02-2024,5
T99,Implement new security patches in infrastructure,Eve,Medium,No Dependency,24-01-2024,25-01-2024,1,29-01-2024,4
T100,Refactor legacy code for better maintainability,David,Urgent,T15,07-01-2024,11-01-2024,4,11-01-2024,0
